rank,subject_a,subject_b,mode,metric,score_a_to_b,score_b_to_a,compatibility,asymmetry,min_score,max_score,chance_improvement,accuracy_a_to_b,accuracy_b_to_a,f1_macro_a_to_b,f1_macro_b_to_a,rank_score
1,211-000545,211-000546,strict,f1_macro,0.5364331723027376,0.4117964693665628,0.4741148208346502,0.12463670293617479,0.4117964693665628,0.5364331723027376,0.14078148750131686,0.6453900709219859,0.4895833333333333,0.5364331723027376,0.4117964693665628,0.4117964693665628
2,211-000531,211-000533,strict,f1_macro,0.4067460317460318,0.4470054129561725,0.42687572235110216,0.04025938121014072,0.4067460317460318,0.4470054129561725,0.09354238901776885,0.4782608695652174,0.6451612903225806,0.4067460317460318,0.4470054129561725,0.4067460317460318
3,211-000531,211-000552,strict,f1_macro,0.4020594194810223,0.4311762311762312,0.4166178253286268,0.02911681169520891,0.4020594194810223,0.4311762311762312,0.08328449199529347,0.4913793103448275,0.4516129032258064,0.4020594194810223,0.4311762311762312,0.4020594194810223
4,211-000541,211-000545,strict,f1_macro,0.3557312252964427,0.3994874545562906,0.37760933992636664,0.0437562292598479,0.3557312252964427,0.3994874545562906,0.044276006593033324,0.46875,0.4881889763779528,0.3557312252964427,0.3994874545562906,0.3557312252964427
5,211-000543,211-000550,strict,f1_macro,0.3621933621933622,0.3536702646095143,0.3579318134014382,0.008523097583847894,0.3536702646095143,0.3621933621933622,0.02459848006810489,0.4567901234567901,0.4468085106382978,0.3621933621933622,0.3536702646095143,0.35367026460951423
6,211-000532,211-000546,strict,f1_macro,0.406087406087406,0.3472177375955225,0.3766525718414643,0.05886966849188352,0.3472177375955225,0.406087406087406,0.043319238508130964,0.3971631205673759,0.4305555555555556,0.406087406087406,0.3472177375955225,0.34721773759552255
7,211-000536,211-000540,strict,f1_macro,0.5976102394012842,0.3442317916002126,0.4709210155007484,0.2533784478010716,0.3442317916002126,0.5976102394012842,0.13758768216741507,0.7941176470588235,0.3467741935483871,0.5976102394012842,0.3442317916002126,0.34423179160021256
8,211-000536,211-000546,strict,f1_macro,0.3218798630563336,0.3295229577660461,0.32570141041118983,0.007643094709712528,0.3218798630563336,0.3295229577660461,-0.007631922922143486,0.425531914893617,0.3467741935483871,0.3218798630563336,0.3295229577660461,0.32187986305633354
9,211-000535,211-000541,strict,f1_macro,0.3544803912043783,0.3023927173547279,0.3284365542795531,0.05208767384965041,0.3023927173547279,0.3544803912043783,-0.00489677905378022,0.4803149606299212,0.3861386138613861,0.3544803912043783,0.3023927173547279,0.3023927173547279
10,211-000540,211-000545,strict,f1_macro,0.2997354497354497,0.5737964351157755,0.4367659424256126,0.2740609853803258,0.2997354497354497,0.5737964351157755,0.1034326090922793,0.4166666666666667,0.6176470588235294,0.2997354497354497,0.5737964351157755,0.29973544973544974
11,211-000550,211-000554,strict,f1_macro,0.2984754334731279,0.3982843137254901,0.348379873599309,0.09980888025236223,0.2984754334731279,0.3982843137254901,0.015046540265975683,0.4160583941605839,0.4814814814814814,0.2984754334731279,0.3982843137254901,0.2984754334731279
12,211-000556,211-000557,strict,f1_macro,0.2965827099212895,0.4415055693638958,0.36904413964259264,0.1449228594426063,0.2965827099212895,0.4415055693638958,0.035710806309259324,0.4060150375939849,0.4901960784313725,0.2965827099212895,0.4415055693638958,0.2965827099212895
13,211-000546,211-000549,strict,f1_macro,0.2933940769841124,0.5088383838383838,0.4011162304112481,0.21544430685427135,0.2933940769841124,0.5088383838383838,0.0677828970779148,0.3381294964028777,0.6028368794326241,0.2933940769841124,0.5088383838383838,0.29339407698411246
14,211-000541,211-000550,strict,f1_macro,0.3857212905756595,0.2772901106234439,0.3315057005995517,0.10843117995221563,0.2772901106234439,0.3857212905756595,-0.0018276327337816145,0.5308641975308642,0.3700787401574803,0.3857212905756595,0.2772901106234439,0.2772901106234439
15,211-000543,211-000549,strict,f1_macro,0.3290567895831053,0.2748815971116067,0.301969193347356,0.0541751924714986,0.2748815971116067,0.3290567895831053,-0.03136413998597731,0.3884892086330935,0.3687943262411347,0.3290567895831053,0.2748815971116067,0.2748815971116067
16,211-000539,211-000546,strict,f1_macro,0.268911452457404,0.295970695970696,0.28244107421404996,0.027059243513291975,0.268911452457404,0.295970695970696,-0.050892259119283356,0.3971631205673759,0.3787878787878788,0.268911452457404,0.295970695970696,0.268911452457404
17,211-000546,211-000552,strict,f1_macro,0.2655122655122655,0.5395321637426901,0.4025222146274778,0.2740198982304246,0.2655122655122655,0.5395321637426901,0.06918888129414447,0.4137931034482758,0.5390070921985816,0.2655122655122655,0.5395321637426901,0.2655122655122655
18,211-000536,211-000543,strict,f1_macro,0.2976716769820218,0.264378302983554,0.2810249899827879,0.03329337399846777,0.264378302983554,0.2976716769820218,-0.052308343350545405,0.3687943262411347,0.282258064516129,0.2976716769820218,0.264378302983554,0.264378302983554
19,211-000550,211-000556,strict,f1_macro,0.5235659481183778,0.2639786335831826,0.39377229085078014,0.2595873145351952,0.2639786335831826,0.5235659481183778,0.06043895751744682,0.5490196078431373,0.2962962962962963,0.5235659481183778,0.2639786335831826,0.2639786335831825
20,211-000532,211-000547,strict,f1_macro,0.2605730258560447,0.3481170245876128,0.3043450252218287,0.0875439987315681,0.2605730258560447,0.3481170245876128,-0.0289883081115046,0.3194444444444444,0.3958333333333333,0.2605730258560447,0.3481170245876128,0.2605730258560447
21,211-000537,211-000549,strict,f1_macro,0.2590390856092587,0.4273461291313944,0.34319260737032653,0.1683070435221357,0.2590390856092587,0.4273461291313944,0.009859274036993215,0.3597122302158273,0.5343511450381679,0.2590390856092587,0.4273461291313944,0.2590390856092587
22,211-000546,211-000556,strict,f1_macro,0.2564179402657077,0.2944150499706055,0.2754164951181566,0.037997109704897836,0.2564179402657077,0.2944150499706055,-0.057916838215176736,0.2941176470588235,0.2553191489361702,0.2564179402657077,0.2944150499706055,0.25641794026570763
23,211-000541,211-000555,strict,f1_macro,0.3067149758454106,0.2514712340799297,0.27909310496267015,0.05524374176548086,0.2514712340799297,0.3067149758454106,-0.05424022837066317,0.3609022556390977,0.3385826771653543,0.3067149758454106,0.2514712340799297,0.2514712340799297
24,211-000540,211-000550,strict,f1_macro,0.2415232133541992,0.2555555555555555,0.24853938445487733,0.014032342201356268,0.2415232133541992,0.2555555555555555,-0.08479394887845598,0.2592592592592592,0.4901960784313725,0.2415232133541992,0.2555555555555555,0.24152321335419918
25,211-000531,211-000548,strict,f1_macro,0.265078874110733,0.2405498281786941,0.25281435114471357,0.02452904593203889,0.2405498281786941,0.265078874110733,-0.08051898218861975,0.3962264150943396,0.5645161290322581,0.265078874110733,0.2405498281786941,0.24054982817869414
26,211-000546,211-000553,strict,f1_macro,0.2633053221288515,0.2393939393939393,0.2513496307613954,0.023911382734912195,0.2393939393939393,0.2633053221288515,-0.08198370257193793,0.3365384615384615,0.3617021276595745,0.2633053221288515,0.2393939393939393,0.23939393939393927
27,211-000544,211-000552,strict,f1_macro,0.3218314532183146,0.2358760013932427,0.2788537273057786,0.08595545182507189,0.2358760013932427,0.3218314532183146,-0.054479606027554695,0.396551724137931,0.4083333333333333,0.3218314532183146,0.2358760013932427,0.23587600139324266
28,211-000537,211-000545,strict,f1_macro,0.2315963606286186,0.2803418803418803,0.25596912048524945,0.04874551971326169,0.2315963606286186,0.2803418803418803,-0.07736421284808387,0.2708333333333333,0.3969465648854962,0.2315963606286186,0.2803418803418803,0.2315963606286186
29,211-000531,211-000547,strict,f1_macro,0.2847124824684432,0.2304347826086956,0.2575736325385694,0.05427769985974762,0.2304347826086956,0.2847124824684432,-0.0757597007947639,0.3541666666666667,0.2903225806451613,0.2847124824684432,0.2304347826086956,0.2304347826086956
30,211-000544,211-000550,strict,f1_macro,0.4110767113863089,0.2281390593047034,0.31960788534550616,0.1829376520816055,0.2281390593047034,0.4110767113863089,-0.013725447987827155,0.4938271604938271,0.4083333333333333,0.4110767113863089,0.2281390593047034,0.2281390593047034
31,211-000532,211-000557,strict,f1_macro,0.2933057280883368,0.2248236331569665,0.25906468062265164,0.06848209493137034,0.2248236331569665,0.2933057280883368,-0.07426865271068167,0.3984962406015037,0.2777777777777778,0.2933057280883368,0.2248236331569665,0.22482363315696646
32,211-000532,211-000550,strict,f1_macro,0.2878182200715338,0.2238652868554829,0.25584175346350835,0.06395293321605089,0.2238652868554829,0.2878182200715338,-0.07749157986982497,0.4444444444444444,0.3125,0.2878182200715338,0.2238652868554829,0.2238652868554829
